date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:24:43	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:42%20GMT	https://francokees94.wixsite.com/02b07b80.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/02b07b80.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:43	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:42%20GMT	https://francokees94.wixsite.com/265e9a4a.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/265e9a4a.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:43	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:43%20GMT	https://francokees94.wixsite.com/ff342417.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/ff342417.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:43	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:43%20GMT	https://francokees94.wixsite.com/2a1582d7.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/2a1582d7.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:44	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:43%20GMT	https://francokees94.wixsite.com/eb321d93.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/eb321d93.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:44	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:44%20GMT	https://francokees94.wixsite.com/06cfef68.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/06cfef68.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:44	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:44%20GMT	https://francokees94.wixsite.com/49a18e23.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/49a18e23.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:45	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:44%20GMT	https://francokees94.wixsite.com/2467b183.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/2467b183.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:45	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:44%20GMT	https://francokees94.wixsite.com/f9fd7cbe.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/f9fd7cbe.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:45	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:45%20GMT	https://francokees94.wixsite.com/e142d0f4.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/e142d0f4.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:45	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:45%20GMT	https://francokees94.wixsite.com/96a73741.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/96a73741.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:46	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:45%20GMT	https://francokees94.wixsite.com/4c758e80.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/4c758e80.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:46	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:46%20GMT	https://francokees94.wixsite.com/44b62fdc.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/44b62fdc.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:46	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:46%20GMT	https://francokees94.wixsite.com/7f8c7c3e.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/7f8c7c3e.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:47	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:46%20GMT	https://francokees94.wixsite.com/fbbc0ea4.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/fbbc0ea4.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:47	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:46%20GMT	https://francokees94.wixsite.com/5d29307d.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/5d29307d.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:47	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:47%20GMT	https://francokees94.wixsite.com/85af43ab.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/85af43ab.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:47	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:47%20GMT	https://francokees94.wixsite.com/7010eb60.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/7010eb60.min.css	(from https://francokees94.wixsite.com/portfolio)
